certifier_name,title,facility_count,state_count,states,sample_facilities,classification
"SHUN TONG","VICE PRESIDENT OF REIMBURSEMENT",71,1,"CA","COUNTRY VILLA BELMONT HEIGHT; COUNTRY VILLA PLAZA HC; COUNTRY VILLA WESTWOOD; COUNTRY VILLA EAST NURSING CENTER; COUNTRY VILLA PAVILION HC","Likely Single Chain"
"MONICA TERRANO","CFO",65,2,"FL;NY","BRIDGEVIEW CENTER; RULEME CENTER; TIERRA PINES CENTER; COQUINA CENTER; ISLAND LAKE CENTER","Likely Single Chain"
"JESSIE RODRIGUEZ","CFO",63,1,"TX","CORPUS CHRISTI NORTH RETAMA MANOR; DEWITT MED DIST - KINGSVILLE N&RC; HERITAGE PARK R.S.N.CTR.; PEARSALL NURSING & REHAB CTR; VAL VERDE NURSING & REHAB CENTER","Likely Single Chain"
"DIANE MORRIS","VP REIMBURSEMENT",62,2,"PA;WV","PETERS TOWNSHIP SKILLED NURSING AND; LEBANON SKILLED NURSING AND REHABILI; EASTON SKILLED NURSING AND REHABILIT; SINKING SPRING SKILLED NURSING & REH; ACCELERATE EXTON","Likely Single Chain"
"BRIAN KIDD","CFO",62,7,"AL;GA;KY;MO;SC;TN;VA","NHC  HEALTHCARE  OF  ROSSVILLE; NHC  OF  FT.  OGLETHORPE; NHC HEALTHCARE  GLASGOW; MACON HEALTH CARE CENTR; NHC HEALTHCARE  KENNETT","Multi-State Chain or External"
"DANIEL PARKER","MANAGER",59,1,"OH","HICKORY CREEK NURSING CENTER; PINE GROVE HEALTHCARE CENTER; TRUEMAN POINTE CARE CENTER; MCNAUGHTEN POINTE; CARINGTON PARK","Likely Single Chain"
"PAUL OMROD","VP REIMBURSEMENT",56,5,"IA;IN;MA;MI;PA","THE GARDENS AT GETTYSBURG; THE GARDENS AT SCRANTON; THE GARDENS AT WEST SHORE; THE GARDENS AT YORK TERRACE; PREMIER AT PERRY VILLAGE","Multi-State Chain or External"
"JOEL FLUIT","VICE PRESIDENT OF FINANCE",49,10,"AR;AZ;HI;IA;KS;MN;NM;SD;TN;TX","GOOD SAMARITAN SOC - LUTHER MANOR; GOOD SAMARITAN SOCIETY- DESMET; GOOD SAMARITAN SOCIETY - S F VILLAGE; GOOD SAMARITAN SOCIETY ARLINGTON; GOOD SAMARITAN SOCIETY-CANTON","Likely External Preparer"
"RHONDA ODOVERO","INTERIM VP OF REVENUE CYCLE",48,4,"MI;MN;ND;WI","STURGEON BAY HEALTH SERVICES; HOPKINS HEALTH SERVICES; ASHLAND HEALTH SERVICES; BIRCH HILL HEALTH SERVICES; MENOMINEE HEALTH SERVICES","Regional Chain or Consultant"
"MARK SCHWARTZ","CHIEF OPERATING OFFICER",46,2,"MD;NJ","AUTUMN LAKE HC AT RUXTON; AUTUMN LAKE HEALTHCARE AT LOCH RAVEN; AUTUMN LAKE HEALTHCARE AT CATONSVILL; AUTUMN LAKE HEALTHCARE AT WAUGH CHAP; AUTUMN LAKE HEALTHCARE AT CHERRY LAN","Likely Single Chain"
"DAVID CAMPBELL","CHIEF RESTRUCTURING OFFICER",46,2,"IL;MO","TWIN LAKES REHAB & HEALTH CARE; PALM TERRACE OF MATTOON; NEWMAN REHAB & HEALTH CARE CTR; HAVANA HEALTH CARE CENTER; ROSEVILLE REHAB &  LIVING CENTER","Likely Single Chain"
"THOMAS GOLDIE","DIRECTOR OF REIMBURSEMENT",45,5,"LA;MS;NC;PA;VA","HERITAGE MANOR OF FRANKLINTON; HERITAGE MANOR OF BOSSIER; GARDEN COURT HEALTH & REHAB; COASTAL HEALTH & REHAB CENTER; OCEAN SPRINGS HEALTH & REHAB CTR","Multi-State Chain or External"
"GALE BOICE","CFO",44,3,"KY;NC;VA","MAGNOLIA LANE NURSING & REHAB CTR; NORTHAMPTON NURSING & REHAB CTR; CHERRY POINT BAY NRSG & REHAB CTR; AYDEN COURT NURSING & REHAB CTR; LAKE PARK NURSING & REHAB CENTER","Regional Chain or Consultant"
"STACEY ROGERS","CHIEF FINANCIAL OFFICER",44,1,"MI","NORTH LANSING OPCO LLC; HOWELL OPCO LLC; FARMINGTON OPCO LLC; MEDILODGE OF HOWELL; GRAND HAVEN OPCO LLC","Likely Single Chain"
"CHAIM RASKIN","CFO",43,1,"CO","HARMONY POINTE; ORCHARD VALLEY HEALTH & REHAB; HARMONY POINTE; ELK RIDGE HEALTH & REHAB; WESTLAKE LODGE HEALTH & REHAB","Likely Single Chain"
"MICHAEL ASCHENDORF","CFO",43,1,"MN","THE ESTATES AT ROSEVILLE LLC; THE ESTATES AT ST. LOUIS PARK LLC; THE ESTATES AT CHATEAU LLC; THE ESTATES AT TWIN RIVERS LLC; THE ESTATES AT BLOOMINGTON LLC","Likely Single Chain"
"DAVE DIXON","VP/CFO",42,1,"IA","ODEBOLT SPECIALTY CARE; CRESTON SPECIALTY CARE; SOUTHRIDGE SPECIALTY CARE; LYON SPECIALTY CARE; RIDGEWOOD SPECIALTY CARE","Likely Single Chain"
"DAVID STALLARD","AUTHORIZED REPRESENTATIVE",40,2,"LA;MS","RIVERVIEW CARE CENTER; CCC OPELOUSAS  LLC; CCC HERITAGE HOUSE  LLC; CCC COVINGTON  LLC; CCC MANDEVILLE  LLC","Likely Single Chain"
"MATTHEW WEISHAAR","CFO",39,4,"AL;MS;TN;TX","ST. MARTINS IN THE PINES; LAMPASAS MANOR; YORKTOWN MANOR; HILLCREST MANOR; DIVERSICARE OF BIG SPRINGS LLC","Regional Chain or Consultant"
"JOE CALCUTT","CFO",39,2,"NC;SC","THE FOLEY CENTER; MARY GRAN NURSING CENTER; THREE RIVERS HEALTH & REHAB CENTER; LIBERTY COMMONS - ALAMANCE COUNTY; SOUTHWOOD NURSING & RETIREMENT CTR","Likely Single Chain"
"JAMIE YOAKUM","CFO",39,5,"GA;KS;MN;TN;WI","CHASE COUNTY CARE AND REHAB CENTER; WAKEFIELD CARE CENTER; NEODESHA CARE AND REHAB CENTER; WELLINGTON CARE & REHAB; SPRING HILL","Multi-State Chain or External"
"DANIEL OH","ASSISTANT CONTROLLER",38,3,"CA;NV;WA","ANAHEIM TERRACE CARE CENTER; WINDSOR CARE CENTER OF CHEVIOT HILLS; CREEKSIDE CENTER; WINDSOR VALLEJO CARE CENTER; CYPRESS GARDENS CONVALES HOSPITAL","Regional Chain or Consultant"
"SHIMON SPIELMAN","CHIEF FINANCIAL OFFICER",38,6,"MT;NV;OR;SD;WA;WY","ASPEN MEADOWS HEALTH AND REHABILITAT; BUENA VISTA HEALTHCARE; SEATTLE TRANSITIONAL CARE; SHEPHERD VALLEY HEALTHCARE CENTER; THERMOPOLIS REHABLITATION AND WELLNE","Multi-State Chain or External"
"SHALOM STEIN","CEO",38,1,"NJ","COMPLETE CARE AT MADISON; COMPLETE CARE AT SUMMIT RIDGE; COMPLETE CARE AT CHESTNUT HILL; COMPLETE CARE AT MERCERVILLE; COMPLETE CARE AT PLAINFIELD","Likely Single Chain"
"CODY LONG","CFO",38,2,"AL;FL","CRYSTAL RIVER HEALTH & REHAB CENTER; OCALA HEALTH AND REHAB CENTER; WEST MELBOURNE HEALTH & REHAB CENTER; DAYTONA BEACH HEALTH & REHAB CTR; ST. AUGUSTINE HEALTH & REHAB CENTER","Likely Single Chain"
"DARREN MAGNESS","VP - FINANCE",37,2,"AR;MO","EVERGREEN LIVING CENTER; SOUTHRIDGE VILLAGE NURSING AND REHAB; CHAPEL WOODS HEALTH AND REHAB; GASSVILLE THERAPY AND LIVING; TWIN LAKES THERAPY AND LIVING","Likely Single Chain"
"ADRIAN DEHGHANMANESH","CFO",36,1,"CA","SUNSET MANOR CONVALESCENT HOSPITAL; CITRUS NURSING CENTER; ANAHEIM HEALTHCARE CENTER; EXTENDED CARE HOSPITAL OF RIVERSIDE; PARAMOUNT CONVALESCENT HOSPITAL","Likely Single Chain"
"DAVID BARUCH","AUTHORIZED SIGNOR",36,4,"CT;MA;NJ;PA","CARE ONE AT MIDDLETOWN; CARE ONE AT NEWTON; CARE ONE AT BROOKLINE; CARE ONE AT HOLMDEL; CARE ONE AT THE HIGHLANDS","Regional Chain or Consultant"
"MATT WEISZ","CFO",35,2,"OH;PA","HIGHLAND SQUARE NSG AND REHAB; ROCKY RIVER GARDENS REHAB & NSG; IVY WOODS HC AND REHAB CENTER; WYNDMOOR HILLS REHAB & NURSING CTR; GARDENS OF NORTH OLMSTED","Likely Single Chain"
"FRANK JURADO","CFO",34,2,"AZ;CA","BIXBY KNOLLS TOWERS HLTHCARE & REHAB; MISSION PALMS HEALTHCARE CENTER; MARINA POINTE HEALTHCARE & SUBACUTE; KEI-AI LOS ANGELES HEALTHCARE CENTER; RIVERWOOD HEALTHCARE CENTER","Likely Single Chain"
"DORRIE RAMBO","CFO",34,2,"LA;TX","COLLEGE PARK REHAB AND CARE CENTER; CHATEAU ST. JAMES REHAB AND RETIREME; SPRING LAKE SKILLED NURSING AND REHA; THE GUEST HOUSE SKILLED NURSING AND; CHATEAU DVILLE REHAB AND RETIREMENT","Likely Single Chain"
"ROBERT DUNCAN","CFO",33,1,"OK","CAPITOL HILL NURSING CENTER LLC; TIMBERLANE MANOR LLC; STILLWATER CREEK SKILLED NURSING & T; FAIRMONT SKILLED NURSING & THERAPY; BROOKWOOD SKILLED NURSING & THERAPY","Likely Single Chain"
"KENNETH ROZENBERG","OPERATOR",33,1,"NY","CLR SCHENECTADY LLC; FULTON CENTER FOR REHAB; BROOKLYN CENTER FOR REHAB; CLR NEW PALTZ LLC; CLR TROY LLC","Likely Single Chain"
"MARY KOFSTAD","CEO",32,2,"OR;WA","AVAMERE TRANS CARE & REHAB QUEEN ANN; AVAMERE REHABILITATION AT RIDGEMONT; AVAMERE REHABILIATION AT PARK WEST; AVAMERE REHAB OF CASCADE PARK; AVAMERE TRANSITIONAL CARE OF PUGET S","Likely Single Chain"
"THOMAS GILMARTIN","CFO",31,5,"CT;ME;NH;NY;VT","RIVERSIDE HEALTH CARE CENTER  INC; HARBOR HILL CARE CENTER; MARLBOROUGH HEALTH CARE CENTER; BLOOMFIELD HEALTH CARE CENTER OF CT; MAPLEVIEW MANOR OF CT  LLC","Multi-State Chain or External"
"LISA ULBERT","CHIEF EXECUTIVE OFFICER",30,3,"FL;IL;IN","TERRACE OF BOCA RATON LLC; APERION CARE BRADLEY; TERRACE OF DELRAY BEACH LLC; APERION CARE TOLUCA; APERION CARE SPRING VALLEY","Regional Chain or Consultant"
"RICHARD AGNEW","AUTHORIZED SIGNATORY",30,2,"OK;TX","MAPLEWOOD CARE CENTER; STRATFORD HOSPITAL DISTRICT DBA HERI; STRATFORD HOSPITAL DISTRICT DBA ARBO; PALESTINE HEALTHCARE CENTER; LYNWOOD NURSING AND REHAB","Likely Single Chain"
"JONATHAN LUSTBADER","CHIEF FINANCIAL OFFICER",30,4,"NV;VA;WA;WV","TLC CARE CENTER; BIRCH CREEK POST ACUTE & REHABILITAI; SALMON CREEK POST ACUTE & REHABILITA; LACEY POST ACUTE & REHABILITATION; ALDERWOOD POST ACUTE & REHABILITAION","Regional Chain or Consultant"
"LISA TOTI","PRESIDENT",30,4,"IA;MN;NE;SD","ACCURA HEALTHCARE OF LEMARS LLC; ACCURA HEALTHCARE OF PLEASANTVILLE; STANTON CARE CENTER; OGDEN MANOR; ACCURA HEALTHCARE OF SIOUX CITY LLC","Regional Chain or Consultant"
"PAULINA SALAZAR","CFO",29,1,"CA","VALLEY PALMS CARE CENTER; HUNTINGTON DRIVE HEALTH & REHAB CTR; MONTE VISTA HEALTHCARE CENTER; SEAL BEACH HEALTH & REHAB CENTER; LAGUNA HILLS HEALTH & REHAB CENTER","Likely Single Chain"
"CHRIS BOYLAN","DIRECTOR OF FINANCE",29,1,"MI","GRAND RAPIDS SNF LLC; WHITEHALL SNF LLC; MISSION POINT OF CLAWSON; MISSION POINT OF WARREN; MISSION POINT OF GREENVILLE LLC","Likely Single Chain"
"BECKIE GOLAMB","CHIEF FINANCIAL OFFICER",28,2,"OH;PA","EMBASSY OF WYOMING VALLEY; EMBASSY OF EAST MOUNTAIN; PICKERINGTON CARE & REHAB; ROYAL OAK NURSING & REHAB; GRANDE OAKS","Likely Single Chain"
"CHAIM HERZBERG","CEO",27,1,"AR","THE SPRINGS OF PINE BLUFF; THE SPRINGS OF TEXARKANA; THE SPRINGS OF EL DORADO; CREEKSIDE AT THE SPRINGS; THE SPRINGS OF AVALON","Likely Single Chain"
"PEGGY VALDIVIA","VICE PRESIDENT  FINANCIAL SERVICES",27,9,"AL;DE;FL;GA;MD;NC;NJ;PA;SC","WESTMINSTER VILLAGE; COUNTRY HOUSE; MANOR HOUSE; COKESBURY VILLAGE; WILLOWBROOKE COURT AT SAINT ANDREWS","Regional Chain or Consultant"
"MARCELLA GRAF","CHIEF FINANCIAL OFFICER",26,2,"IL;MI","THE CITADEL OF NORTHBROOK; CRESCENT CARE OF ELGIN; CITADEL CARE CENTER KANKAKEE; THE CITADEL OF SKOKIE; CITADEL CARE CENTER WILMETTE","Likely Single Chain"
"ERIC BENNETT","CFO",26,11,"AZ;CA;CO;ID;KS;NM;NV;OH;PA;TN;UT","AHC OF OVERLAND PARK; AHC OF NASHVILLE; AHC OF LANDERHAVEN  LLC; AHC OF CINCINNATI  LLC; AHC OF MESA","Likely External Preparer"
"JENNIFER WILSON","VP OF REVENUE CYCLE",26,1,"OH","CONVALARIUM AT INDIAN RUN; BUCKEYE FOREST AT MADEIRA; PARK VISTA NURSING & REHAB; BUCKEYE FOREST AT JACKSON; BROOKVIEW HEALTHCARE CENTER","Likely Single Chain"
"DEREK SMART","CFO  ALDEN MANAGEMENT SERVICES  INC.",26,2,"IL;WI","ALDEN-ALMA NELSON MANOR  INC.; HEATHER HEALTH CARE CENTER  INC.; ALDEN-PARK STRATHMOOR  INC.; ALDEN-VALLEY RIDGE REHAB. & H/C CTR; ALDEN-POPLAR CREEK REHAB. & H/C CTR","Likely Single Chain"
"STACEY ROGERS","CFO",25,3,"KY;OH;TN","ARBORS AT MARIETTA; LEXINGTON HEALTHCARE CENTER; RIPLEY HEALTH & REHAB CENTER; ARBORS WEST; ARBORS AT WOODSFIELD","Regional Chain or Consultant"
"MICK VUJANOVIC","CEO",24,1,"KY","MADISONVILLE HEALTH & REHABILITATION; FULTON NURSING & REHABILITATION; BRADFORD HEIGHTS HEALTH & REHAB; WESTWOOD NURSING AND REHABILITATION; CHAUTAUQUA HEALTH & REHABILITATION","Likely Single Chain"
"KILEY BROOKS","CHIEF FINANCIAL OFFICER",24,5,"AL;IL;KS;LA;MO","ST CHARLES OPCO; TI-RESURRECTION LIFE CENTER LLC; METROPOLIS REHAB & HEALTH CARE CTR; BETHANY REHAB & HEALTH CENTER; WESTVIEW OF DERBY REHAB & HCC LLC","Regional Chain or Consultant"
"LYNNEA CASTILLO","CFO",23,1,"TX","LAS ALTURAS DE PENITAS; THE HEIGHTS OF NORTH HOUSTON; COUNTRY CARE MANOR; STONE OAK CARE CENTER; LAS ALTURAS N&T BROWNSVILLE","Likely Single Chain"
"STEPHANIE CHRISTOPHER","CONSULTANT",23,3,"FL;OH;TX","WRIGHTS HEALTHCARE & REHAB CENTER; KR AT COLLEGE HARBOR; BUFFALO CROSSING HEALTHCARE AND REHA; CHATHAM GLEN HEALTHCARE AND REHAB CE; GREEN HILLS CENTER","Regional Chain or Consultant"
"JAMES KIMBALL","CFO",23,2,"CA;NV","ROYAL CARE SKILLED NURSING CENTER; GILROY HEALTHCARE & REHABILITATION C; SILVER HILLS HEALTH CARE CENTER; SILVER RIDGE HEALTHCARE CENTER; ARBOR NURSING CENTER","Likely Single Chain"
"ZISH MARGULIES","CEO",23,2,"KS;OH","RECOVER-CARE MERRIAM GARDENS LLC; WATHENA HEALTHCARE AND REHAB CENTER; LOUISBURG CARE CENTER; SHAWNEE GARDENS NRSG & REHAB CTR.; BALDWIN HEALTHCARE AND REHAB CENTER","Likely Single Chain"
"DAVID VANHOOSE","ACCOUNTING MANAGER",23,2,"MI;OH","ALTERCARE OF CUYAHOGA FALLS; ALTERCARE POST-ACUTE REHABILITATION; ALTERCARE NEWARK NORTH; SUMMIT ACRES INC; MAJORA LANE CARE CENTER","Likely Single Chain"
"KEVIN RYMANOWSKI","CFO",23,4,"MN;MO;ND;WI","ST BENEDICTS HEALTH CENTER; BENEDICTINE LIVING CENTER GARRISON; ST ROSE CARE CENTER; ST GABRIELS COMMUNITY; ST CATHERINES LIVING CENTER","Regional Chain or Consultant"
"ARMANDO FORTUNATO","CFO",22,2,"PA;WV","HIGHLANDS HEALTHCARE AND REHAB; BROOKLINE HEALTHCARE AND REHAB; KINZUA HEALTHCARE AND REHAB; WILLIAM PENN HEALTHCARE AND REHAB; SUNSET RIDGE HEALTHCARE & REHAB","Likely Single Chain"
"TOM MITCHELL","CFO",22,3,"AK;OR;WA","SULLIVAN PARK CARE CENTER; TOPPENISH NURSING & REHAB CENTER; COLONIAL VISTA POST ACUTE & REHABILI; PRESTIGE CARE & REHAB CENTER OF ANCH; PORTHAVEN HEALTHCARE CENTER","Regional Chain or Consultant"
"JOEL FLUIT","VP FINANCE",22,1,"MN","GOOD SAMARITAN SOCIETY - AMBASSADOR; GOOD SAMARITAN SOCIETY STILLWATER; GOOD SAMARITAN SOCIETY MAPLEWOOD; GOOD SAMARITAN SOCIETY WACONIA; GOOD SAMARITAN SOCIETY INVER GROVE","Likely Single Chain"
"DAVID FRIEDMAN","PRESIDENT",22,1,"CA","MONTROSE HEALTHCARE CENTER; CALIFORNIA HEALTHCARE & REHAB CENTER; SHERMAN OAKS HEALTH & REHAB CENTER; GREEN ACRES LODGE; INTERCOMMUNITY HLTHCARE & REHAB CTR","Likely Single Chain"
"TODD SANGSTER","CFO",22,1,"MI","SOUTH LYON SR. CARE & REHAB CTR LLC; VALLEY VIEW CARE CENTER; EVERGREEN MANOR SR. CARE CENTRE LLC; JONCO INC; SAGINAW SR. CARE & REHAB CTR LLC","Likely Single Chain"
"JAMES TAYLOR","CEO",22,1,"OH","CEDARWOOD PLAZA; PLEASANTVIEW NURSING HOME; LEGACY BEAVERCREEK; LEGACY PERRYSBURG; LEGACY WESTERVILLE","Likely Single Chain"
"JEFF CANTRELL","CFO",22,1,"LA","GARDEN PARK NURSING HOME; FOREST HAVEN NURSING & REHAB; PLANTATION MANOR NURSING & REHAB; HILLTOP NURSING & REHAB CENTER; MAGNOLIA MANOR NURSING & REHAB","Likely Single Chain"
"AARON DUNLAP","CFA",22,2,"MO;NE","VSL NORFOLK LLC; VSL ST EDWARD LLC; VSL LINCOLN SOUTHLAKE LLC; VSL ST PAUL LLC; VSL LOUP CITY LLC","Likely Single Chain"
"LISA ULBERT","CEO",21,2,"IL;IN","APERION CARE FAIRFIELD; OAK LAWN; ALTA REHAB OAK BROOK; ALTA REHAB FAIRMONT; ALTA REHAB AT WAUCONDA","Likely Single Chain"
"ELI GRINSPAN","COO",20,1,"KY","HOPKINS CENTER; BRIDGE POINT CENTER; REGENCY CENTER; HILLSIDE CENTER; KLONDIKE CENTER","Likely Single Chain"
"ROBERT SHARON","CHIEF FINANCIAL OFFICER",20,1,"MI","BELLE FOUNTAIN NURSING; FOUNTAIN BLEU HEALTH AND REHAB; SOREPOINTE NURSING CENTER; WOODWARD HILLS HEALTH; EVERGREEN HEALTH AND REHABILITATION","Likely Single Chain"
"STEVEN WEIDBERG","CFO",20,2,"NC;VA","ASHEBORO REHABILITATION AND HEALTHCA; WAVERLY OPERATING LLC; COURTLAND REHABILITATION AND HEALTHC; AMELIA REHABILITATION AND HEALTHCARE; EMPORIA REHABILITATION & HEALTHCARE","Likely Single Chain"
"DWIGHT OTT","CFO",20,3,"FL;IN;OH","OAK HILL HEALTH & REHABILITATION LLC; ASTORIA HEALTH AND REHAB CENTER; BRIDGEWATER PARK HEALTH & REHABILITA; BLUE HERON HEALTH & REHABILITATION; OSSIAN HEALTH CARE & REHAB CENTER","Regional Chain or Consultant"
"KYLE SCHADE","CFO",20,2,"KS;MO","HERITAGE HALL NURSING CENTER; QUAIL CREEK; SABETHA MANOR; EUREKA NURSING CENTER; PLEASANT VALLEY MANOR","Likely Single Chain"
"CATHY MCCORD","VP OF FINANCE",19,3,"KS;MO;OK","MEDICALODGES OF WICHITA; MEDICALODGES PITTSBURG; MEDICALODGE OF ATCHISON; ML OP IOLA  LLC; MEDICALODGE OF COLUMBUS","Regional Chain or Consultant"
"ANDREW RAPP","CHIEF FINANCIAL OFFICER",19,3,"HI;OR;WA","REGENCY COUPEVILLE REHAB & NSG CTR; REGENCY CANYON LAKES REHAB & NSG CTR; REGENCY AT THE PARK; KAUAI CARE CENTER; REGENCY CARE OF ROGUE VALLEY","Regional Chain or Consultant"
"MORGAN WRIGHT","MANAGER OF REPORTING",18,6,"IN;KY;OH;TN;WI;WV","CLIFTON OAKS CARE AND REHAB CENTER; FRANKFORT REHAB AND CARE LLC; STANFORD CARE AND REHAB LLC; GREEN HILL REHAB AND CARE LLC; LYNDON WOODS CARE & REHAB LLC","Regional Chain or Consultant"
"MARK MEYER","CFO",18,3,"IA;MN;WI","PRESBYTERIAN HOMES - GRANDVIEW CHRIS; PRESBYTERIAN HOMES - NORTH OAKS; PRESBYTERIAN HOMES - ARDEN HILLS; PRESBYTERIAN HOMES - CARONDELET; PRESBYTERIAN HOMES - WAYZATA BAY-FOL","Regional Chain or Consultant"
"DOMINIC ROMEO","CFO",18,1,"MD","KENSINGTON NURSING  LLC; HOLLY HILL NURSING  LLC; BLUE POINT SNF  LLC; NORTHWEST SNF  LLC; CLINTON NURSING  LLC","Regional Chain or Consultant"
"JONATHAN COOPER","SVP HR",18,2,"AL;TN","MILLENNIUM NURSING & REHAB CENTER; WEST TENNESSEE TRANSITIONAL CARE; MEADOWBROOK HEALTH AND REHABILTATION; SAVANNAH HEALTH CARE AND REHABILITAT; WESTWOOD HEALTH CARE AND REHABILITAT","Regional Chain or Consultant"
"LYNN ANDERSON","CONTROLLER",18,2,"IA;NE","PREMIER ESTATES 510  LLC; PREMIER ESTATES 506  LLC; PREMIER ESTATES 509  LLC; PREMIER ESTATES OF KENESAW  LLC; PREMIER ESTATES 508  LLC","Regional Chain or Consultant"
"WILLIAM MILLER","CEO",18,4,"MO;TN;TX;WA","ATHENE NURSING AND REHABILITATION; CHATTANOOGA HEALTH AND REHAB CENTER; CASTLE HILLS REHABILITATION AND CARE; FALLBROOK REHABILITATION AND CARE CE; ARAPAHO REHABILITATION AND CARE CENT","Regional Chain or Consultant"
"DANIEL WADDELL","DIRECTOR OF REVENUE",18,2,"AZ;UT","HAVEN OF PHOENIX; HAVEN OF TUCSON; HAVEN OF YUMA; HAVEN OF FLAGSTAFF; HAVEN OF CAMP VERDE","Regional Chain or Consultant"
"MICHAEL JASON MILLS","CFO",18,2,"IL;MO","HELIA HEALTHCARE OF HILLSBORO; HELIA SOUTHBELT HEALTHCARE; HELIA HEALTHCARE OF OLNEY; PALLADIAN MT VERNON SNF  LLC; PALLADIAN CREVE COEUR  LLC","Regional Chain or Consultant"
"NOEL DUNNAM","CFO",18,1,"AL","ENGLEWOOD HEALTH CARE CENTER; CROWNE HEALTH CARE OF MONTGOMERY; WOODHAVEN MANOR NURSING HOME; PARKWOOD HEALTH CARE FACILITY; JACKSON HEALTH CARE FACILITY","Regional Chain or Consultant"
"HENNY GRUNFELD","FINANCE SUPERVISOR",17,1,"NJ","MC WASHINGTON TWP; SPRING HILLS POST ACUTE WOODBURY; SPRING HILLS MATAWAN; DAUGHTERS OF MIRIAM; WYNWOOD REHAB AND HEALTHCARE CTR","Regional Chain or Consultant"
"DAVID ENGLANDER","CEO",17,2,"GA;NC","HARBORVIEW HEALTH SYSTEM OF THOMASTO; HARBORVIEW HEALTH SYSTEM OF JESUP; HARBORVIEW DECATUR; GLENWOOD HEALTH CENTER BY HARBORVIEW; HARBORVIEW SATILLA","Regional Chain or Consultant"
"RYAN VESS","CFO",17,2,"CT;RI","MARY ELIZABETH NURSING CENTER; HIGHVIEW HEALTH CARE CENTER INC; LAUREL WOODS HEALTH CARE CENTER; FOWLER NURSING CENTER; WATERBURY EXTENDED CARE FACILITY","Regional Chain or Consultant"
"BARRY DONATH","CFO",17,1,"GA","POWDER SPRINGS CENTER FOR NURSING &; WESTBURY CENTER OF JACKSON FOR NURSI; RIVERDALE CENTER FOR NURSING AND HEA; ANDERSON MILL CENTER FOR NURSING AND; EAST COBB CENTER FOR NURSING AND HEA","Regional Chain or Consultant"
