rpt_rec_num,prvdr_num,npi,prvdr_ctrl_type_cd,fy_bgn_dt,fy_end_dt,rpt_stus_cd,facility_name,address,city,state,zip,certifier_name,certifier_printed_name,certifier_title,certifier_date
1395979,225523,,4,01/01/2024,04/30/2024,2,GLEN RIDGE NURSING CARE CENTER,120 MURRAY STREET,MEDFORD,MA,02155,DIANE MORRIS,DIANE MORRIS,VP OF REIMBURSEMENT,08/15/2024
1396065,105653,,4,12/01/2023,12/31/2023,4,ASPIRE AT ORANGE PARK,1512 KINGSLEY AVENUE,ORANGE PARK,FL,32073,AARON TRAVITSKY,AARON TRAVITSKY,CHIEF FINANCIAL OFFICER,05/29/2024
1396207,676274,,4,01/01/2024,02/29/2024,2,REMARKABLE HEALTHCARE OF SEGUIN,1339 EASTWOOD DRIVE,SEGUIN,TX,78155,LAURIE MCPIKE,LAURIE MCPIKE,ADMINISTRATOR,07/31/2024
1396208,676499,,5,01/01/2024,01/31/2024,2,SPRINGTOWN PARK NURSING & CARE CENTE,200 WILLIAM WARD RD,SPRINGTOWN,TX,76082,SHELLEY CARNEY,SHELLEY CARNEY,CONTROLLER,08/12/2024
1396469,075354,,4,10/01/2023,04/30/2024,2,SAINT JOHN PAUL II CENTER,33 LINCOLN AVENUE,DANBURY,CT,06810,DIANE MORRIS,DIANE MORRIS,VP OF REIMBURSEMENT,09/11/2024
1396474,105434,,5,01/01/2024,03/31/2024,1,PLAZA HEALTH AND REHAB,4842 SW ARCHER ROAD,GAINESVILLE,FL,32607,IVONNE BURRELL,IVONNE BURRELL,CFO,09/17/2024
1396501,175159,,4,10/01/2023,12/31/2023,2,STREETCAR HEALTHCARE  INC.,8909 PARALLEL PARKWAY,KANSAS CITY,KS,66112,MICHAEL BROOKS,MICHAEL BROOKS,ADMINISTRATOR,05/02/2024
1396518,265589,,4,02/01/2024,02/29/2024,2,ST. PETERS MANOR CARE CENTER,230 SPENCER ROAD,ST. PETERS,MO,63376,,,,
1396615,225545,,4,01/01/2024,04/30/2024,2,COURTYARD NURSING CARE CENTER,200 GOVERNORS AVENUE,MEDFORD,MA,02155,DIANE MORRIS,DIANE MORRIS,VP OF REIMBURSEMENT,08/15/2024
1396640,365733,,4,10/31/2023,12/31/2023,2,CARECORE AT MARGARET HALL,1960 MADISON RD.,CINCINNATI,OH,45026,,,,
1396643,365886,,5,01/01/2024,04/01/2024,2,TOLEDO HEALTHCARE,544 ENTERPRISE DR.  STE G,LEWIS CENTER,OH,43035,,,,
1396707,175418,,4,01/01/2024,01/31/2024,2,PROVIDENCE LIVING CENTER INC,1112 SE REPUBLICATION AVE,TOPEKA,KS,66607,,,,
1396755,676475,,11,12/14/2023,03/31/2024,2,RIVERWOOD HEALTHCARE,600 BACON ST,MADISONVILLE,TX,77864-2575,DAVID MAK,DAVID MAK,CFO,08/15/2024
1396760,065238,,6,11/03/2023,12/31/2023,2,SKYLAKE POST ACUTE,12080 BELLAIRE WAY,THORNTON,CO,80241,MICHELLE LEWIS,MICHELLE LEWIS,CHIEF ACCOUNTING OFFICER,08/16/2024
1396829,075331,,4,11/28/2023,12/31/2023,2,AUTUMN LAKE HEALTHCARE AT THE WILLOW,225 AMITH ROAD,WOODBRIDGE,CT,06525,MARK SCHWARTZ,MARK SCHWARTZ,OWNER,09/23/2024
1396884,676363,,4,01/01/2024,02/29/2024,2,REMARKABLE HEALTHCARE OF PRESTONWOOD,4501 PLANO PARKWAY,CARROLLTON,TX,75010,LAURIE MCPIKE,LAURIE MCPIKE,ADMINISTRATOR,07/31/2024
1396885,745000,,4,01/01/2024,02/29/2024,2,LAS ALTURAS DE PENITAS,414 LIBERTY BLVD,PENITAS,TX,78576,LYNNEA CASTILLO,LYNNEA CASTILLO,CFO,08/22/2024
1396976,075407,,4,11/28/2023,12/31/2023,2,AUTUMN LAKE HEALTHCARE WEST HARTFORD,ONE EMILY WAY,WEST HARTFORD,CT,06107,MARK SCHWARTZ,MARK SCHWARTZ,OWNER,09/23/2024
1397002,185090,,5,10/20/2023,12/31/2023,2,BRIDGE POINT CENTER,7300 WOODSPOINT DRIVE,FLORENCE,KY,41042,ELI GRINSPAN,ELI GRINSPAN,COO,08/05/2024
1397003,185290,,5,10/20/2023,12/31/2023,2,REGENCY CENTER,1550 RAYDALE DRIVE,LOUISVILLE,KY,40219,ELI GRINSPAN,ELI GRINSPAN,COO,08/05/2024
1397045,495151,,4,01/01/2024,01/31/2024,2,CHOICE HEALTHCARE AT LYNCHBURG,2081 LANGHORNE ROAD,LYNCHBURG,VA,24501-1443,,,,
1397074,075295,,2,10/01/2023,03/31/2024,2,MILLER MEMORIAL COMMUNITY,360 BROAD STREET,MERIDEN,CT,06450,JAMES BATTEN,JAMES BATTEN,PRESIDENT,08/20/2024
1397145,455510,,4,01/01/2024,01/31/2024,2,CASTLE HILLS REHABILITATION AND CARE,8020 BLANCO ROAD,SAN ANTONIO,TX,78216,,PETER PORRAS,ADMINISTRATOR,
1397154,075340,,4,10/01/2023,05/14/2024,2,TRINITY TERRACES  LLC,560 WOODBURY ROAD,WATERTOWN,CT,06795,,,,
1397158,105659,,4,01/01/2024,04/30/2024,1,TERRACE OF LAKE WORTH LLC,1201 12TH AVENUE SOUTH,LAKE WORTH,FL,33460,MEYER MEYSTEL,MEYER MEYSTEL,CEO,09/30/2024
1397198,375543,,4,01/01/2024,03/27/2024,2,MOORELAND HERITAGE MANOR,402 SE 6TH ST.,MOORELAND,OK,73852,,,,
1397270,315506,,2,01/01/2024,03/31/2024,1,MC WASHINGTON TWP,378 FRIES MILL ROAD,SEWELL,NJ,08080,HENNY GRUNFELD,HENNY GRUNFELD,FINANCE SUPERVISOR,10/08/2024
1397287,455697,,6,01/01/2024,05/31/2024,2,SENIOR CARE OF CORPUS CHRISTI,202 FORTUNE DRIVE,CORPUS CHRISTI,TX,78405,GREGORY MOORE,GREGORY MOORE,PRESIDENT,08/23/2024
1397314,065248,,6,01/01/2024,02/29/2024,2,BETHANY NURSING AND REHAB,5301 W. FIRST AVENUE,LAKEWOOD,CO,80226,JIM MARSH,JIM MARSH,CFO,08/28/2024
1397319,105685,,4,01/01/2024,04/30/2024,1,TERRACE OF BOCA RATON LLC,9945 CENTRAL PARK BLVD,BOCA RATON,FL,33428,LISA ULBERT,LISA ULBERT,CHIEF EXECUTIVE OFFICER,10/10/2024
1397325,145647,,6,12/01/2023,12/31/2023,2,THE LOFT REHABILITATION OF PEORIA,1500 W. NORTHMOOR ROAD,PEORIA,IL,61614,DANIEL AARON,DANIEL AARON,CFO,08/15/2024
1397327,145994,,2,12/01/2023,12/31/2023,2,INVERNESS HEALTH & REHAB,1800 WEST COLONIAL PARKWAY,INVERNESS,IL,60067,AARON TOPPER,AARON TOPPER,PRESIDENT,09/03/2024
1397330,155404,,9,01/01/2024,02/07/2024,2,ESSEX NURSING & REHABILITATION CENTE,301 WEST ESSEX STREET,LEBANON,IN,46052,,,,
1397428,155145,,9,01/01/2024,02/02/2024,2,WASHINGTON NURSING CENTER,603 E NATIONAL HIGHWAY,WASHINGTON,IN,47501,,,,
1397522,155743,,9,01/01/2024,02/07/2024,2,GREEN-HILL MANOR,501 N LINCOLN AVENUE,FOWLER,IN,47944,,,,
1397572,395683,,4,01/01/2024,03/31/2024,2,HIGHLANDS HEALTHCARE AND REHAB,PO BOX 10,LAPORTE,PA,18626,ARMANDO FORTUNATO,ARMANDO FORTUNATO,CFO,09/03/2024
1397582,495156,,5,01/01/2024,01/31/2024,2,CHOICE HEALTHCARE AT ROANOKE,324 KING GEORGE AVENUE SW,ROANOKE,VA,24016-5213,,,,
1397583,495338,,4,01/01/2024,01/31/2024,2,CHOICE HEALTHCARE AT ABINGDON,600 WALDEN ROAD,ABINGDON,VA,24210,,,,
1397616,155807,,9,01/01/2024,02/08/2024,2,RURAL HEALTH CARE CENTER,1747 N RURAL ST,INDIANAPOLIS,IN,46218,,,,
1397687,075347,,4,10/01/2023,04/30/2024,2,THE SUFFIELD HOUSE,ONE CANAL ROAD,SUFFIELD,CT,06078,CARRIE RICCIO,CARRIE RICCIO,ADMINISTRATOR,10/10/2024
1397688,075405,,4,11/28/2023,12/31/2023,2,AUTUMN LAKE HEALTHCARE AT MADISON,34 WILDWOOD AVENUE,MADISON,CT,06443,MARK SCHWARTZ,MARK SCHWARTZ,OWNER,09/23/2024
1397697,146112,,4,01/01/2024,04/30/2024,2,APERION CARE BRADLEY,650 NORTH KINZIE,BRADLEY,IL,60915,LISA ULBERT,LISA ULBERT,CHIEF EXECUTIVE OFFICER,09/30/2024
1397745,395391,,1,01/01/2024,03/31/2024,2,ASBURY HEALTH CENTER,700 BOWER HILL ROAD,PITTSBURGH,PA,15243,DEBORAH BRODINE,DEBORAH BRODINE,PRESIDENT,09/04/2024
1397767,675939,,11,12/01/2023,03/31/2024,2,VINTAGE HEATH CARE CENTER,205 N BONNIE BRAE,DENTON,TX,76201,CHRIS EAMIGUEL,CHRIS EAMIGUEL,CFO,09/03/2024
1397768,675970,,4,01/01/2024,03/31/2024,2,MEMPHIS CONVALESCENT CENTER,1415 N 18TH ST,MEMPHIS,TX,79245,CHRIS EAMIGUEL,CHRIS EAMIGUEL,CFO,09/03/2024
1397778,056286,,6,10/01/2023,01/30/2024,2,MAYFLOWER GARDENS CONVALESCENT HOSP,6705 WEST AVENUE M,LANCASTER,CA,93536,,,,
1397931,675106,,11,12/01/2023,03/31/2024,2,GRACE POINTE WELLNESS CENTER,2301 N OREGON ST,EL PASO,TX,79902,CHRIS EAMIGUEL,CHRIS EAMIGUEL,CFO,09/03/2024
1397934,675808,,4,01/01/2024,02/29/2024,2,BUFFALO CREEK HEALTHCARE  LLC,250 NORTH FM 2578,TERRELL,TX,75161,KENNETH GROVER,KENNETH GROVER,ADMINISTRATOR,08/07/2024
1397935,675822,,11,12/01/2023,03/31/2024,2,BELTLINE HEALTHCARE CENTER,106 N BELTLINE RD,GARLAND,TX,75040,CHRIS EAMIGUEL,CHRIS EAMIGUEL,CFO,09/03/2024
1397936,675856,,11,12/01/2023,03/31/2024,2,WHITESBORO HEALTH & REHABILITATION C,1204 SHERMAN DR,WHITESBORO,TX,76273,CHRIS EAMIGUEL,CHRIS EAMIGUEL,CFO,09/03/2024
1397939,676068,,11,01/01/2024,01/31/2024,2,CEDAR MANOR NURSING AND REHABILITATI,1915 GREENWOOD ST,SAN ANGELO,TX,76901,CHRIS EAMIGUEL,CHRIS EAMIGUEL,CFO,09/03/2024
1398026,395418,,4,01/01/2024,03/31/2024,2,BROOKLINE HEALTHCARE AND REHAB,RD # 1,MIFFLINTOWN,PA,17059,ARMANDO FORTUNATO,ARMANDO FORTUNATO,CFO,09/10/2024
1398079,105475,,4,01/01/2024,04/30/2024,1,TERRACE OF DELRAY BEACH LLC,5430 LINTON BLVD,DELRAY BEACH,FL,33484,LISA ULBERT,LISA ULBERT,CHIEF EXECUTIVE OFFICER,10/10/2024
1398214,675439,,11,12/01/2023,03/31/2024,2,MULLICAN CARE CENTER,105 N MAIN ST,SAVOY,TX,75479,CHRIS EAMIGUEL,CHRIS EAMIGUEL,CFO,09/03/2024
1398215,675995,,11,12/01/2023,03/31/2024,2,UNIVERSITY REHABILITATION CENTER,2244 BRINKER RD,DENTON,TX,76208,CHRIS EAMIGUEL,CHRIS EAMIGUEL,CFO,09/03/2024
1398228,075228,,4,10/01/2023,06/02/2024,2,ARDEN HOUSE,850 MIX AVENUE,HAMPDEN,CT,06514,,DIANE MORRIS,VP OF REIMBURSEMENT,
1398255,145832,,4,01/01/2024,02/29/2024,2,APERION CARE WEST RIDGE,6450 NORTH RIDGE,CHICAGO,IL,60626,,LISA ULBERT,CHIEF EXECUTIVE OFFICER,
1398437,455815,,4,01/01/2024,01/31/2024,2,FALLBROOK REHABILITATION AND CARE CE,10851 CRESCENT MOON DRIVE,HOUSTON,TX,77064,,RAY BAKER,ADMINISTRATOR,
1398449,675066,,11,12/01/2023,03/31/2024,2,HONEY GROVE NURSING CENTER,1303 E MAIN ST,HONEY GROVE,TX,75446,CHRIS EAMIGUEL,CHRIS EAMIGUEL,CFO,09/03/2024
1398491,205133,,3,01/01/2024,04/16/2024,2,HERITAGE REHAB & LIVING CENTER,457 OLD LEWISTON RD,WINTHROP,ME,04364-4111,,,,
1398501,315521,,6,01/01/2024,02/29/2024,1,SPRING HILLS POST ACUTE WOODBURY,467 COOPER STREET,WOODBURY,NJ,08096,HENNY GRUNFELD,HENNY GRUNFELD,FINANCE SUPERVISOR,10/09/2024
1398531,675982,,11,01/01/2024,01/31/2024,2,PARK PLAZA NURSING AND REHABILITATIO,2210 HOWARD ST,SAN ANGELO,TX,76901,CHRIS EAMIGUEL,CHRIS EAMIGUEL,CFO,09/03/2024
1398631,395706,,5,01/01/2024,05/31/2024,1,THE GARDENS AT EAST MOUNTAIN,101 EAST MOUNTAIN BLVD,WIKES BARRE,PA,18702,PAUL OMROD,PAUL OMROD,VP OF REIMBURSEMENT,10/31/2024
1398635,495146,,5,02/01/2024,03/31/2024,2,BLUE RIDGE REHABILITATION AND NURSIN,94 SOUTH AVENUE,HARRISONBURG,VA,22801-2827,,,,
1398636,495147,,5,02/01/2024,03/31/2024,2,RIVER EDGE REHABILITATION AND NURSIN,1221 ROSSER AVENUE,WAYNESBORO,VA,22980-3336,,,,
1398637,495156,,5,02/01/2024,03/31/2024,2,OLD SOUTHWEST HEALTH AND REHABILITAT,324 KING GEORGE AVENUE SW,ROANOKE,VA,24016-5213,,,,
1398638,495338,,4,02/01/2024,03/31/2024,2,DEER MEADOWS REHABILITATION AND NURS,600 WALDEN ROAD,ABINGDON,VA,24210,,,,
1398639,495343,,4,02/01/2024,03/31/2024,2,GREENE ACRES REHABILITATION AND NURS,355 WILLIAM MILLS DRIVE,STANARDSVILLE,VA,22973,,,,
1398644,675543,,2,01/01/2024,05/31/2024,2,WEST JANISCH HEALTH CARE CENTER,617 W JANISCH ST,HOUSTON,TX,77018,,,,
1398693,495427,,2,10/01/2023,11/30/2023,2,RICHFIELD HEALTH CENTER-ROANOKE,1047 MECCA STREET,ROANOKE,VA,24012,MARY CLEMENTS,MARY CLEMENTS,CFO,06/05/2024
1398694,495427,,4,12/01/2023,03/31/2024,2,STAR CITY REHABILITATION & NURSING,1047 MECCA STREET,ROANOKE,VA,24012,,MARY CLEMENTS,CFO,
