company_id,company_name,company_type,property_id,ccn,facility_name,crm_type,current_atlas_type
221,INFINITY HEALTHCARE CONSULTING,owner_operator,9238,365727,PEBBLE CREEK HEALTHCARE CENTER,Type2,property_owner
221,INFINITY HEALTHCARE CONSULTING,owner_operator,5175,215065,SILVER SPRING  HEALTHCARE CENTER,Owner,facility_operator
221,INFINITY HEALTHCARE CONSULTING,owner_operator,12180,515047,WORTHINGTON HEALTHCARE CENTER,Type2,property_owner
221,INFINITY HEALTHCARE CONSULTING,owner_operator,9278,365779,WYANT WOODS HEALTHCARE CENTER,Type2,property_owner
386,CASTLE HEALTHCARE,other,9345,365893,BEREA CENTER,Type2,property_owner
386,CASTLE HEALTHCARE,other,8977,365304,CLIFTON HEALTHCARE CENTER,Type2,property_owner
386,CASTLE HEALTHCARE,other,5279,215231,CLINTON HEALTHCARE  CENTER,Type2,property_owner
386,CASTLE HEALTHCARE,other,9272,365771,COPLEY HEALTH CENTER,Type2,property_owner
386,CASTLE HEALTHCARE,other,5335,215336,HAGERSTOWN HEALTHCARE CENTER,Type2,property_owner
386,CASTLE HEALTHCARE,other,4559,185039,HIGHLANDS NURSING AND REHABILITATION,Type2,property_owner
386,CASTLE HEALTHCARE,other,9687,366396,"LAURELS OF ATHENS, THE",Type2,property_owner
386,CASTLE HEALTHCARE,other,9238,365727,PEBBLE CREEK HEALTHCARE CENTER,Type2,property_owner
386,CASTLE HEALTHCARE,other,8635,345336,SIGNATURE HEALTHCARE OF ROANOKE RAPIDS,Type2,property_owner
386,CASTLE HEALTHCARE,other,5175,215065,SILVER SPRING  HEALTHCARE CENTER,Owner,facility_operator
386,CASTLE HEALTHCARE,other,11271,445363,STANDING STONE CARE AND REHAB,Type2,property_owner
386,CASTLE HEALTHCARE,other,11952,495394,THE LAURELS OF BON AIR,Type2,property_owner
386,CASTLE HEALTHCARE,other,11937,495377,THE LAURELS OF CHARLOTTESVILLE,Type2,property_owner
386,CASTLE HEALTHCARE,other,8700,345421,THE LAURELS OF CHATHAM,Type2,property_owner
386,CASTLE HEALTHCARE,other,8624,345322,THE LAURELS OF HENDERSONVILLE,Type2,property_owner
386,CASTLE HEALTHCARE,other,12180,515047,WORTHINGTON HEALTHCARE CENTER,Type2,property_owner
386,CASTLE HEALTHCARE,other,9278,365779,WYANT WOODS HEALTHCARE CENTER,Type2,property_owner
380,MAJESTIC CARE,owner_operator,9345,365893,BEREA CENTER,Type2,property_owner
380,MAJESTIC CARE,owner_operator,8977,365304,CLIFTON HEALTHCARE CENTER,Type2,property_owner
380,MAJESTIC CARE,owner_operator,5279,215231,CLINTON HEALTHCARE  CENTER,Type2,property_owner
380,MAJESTIC CARE,owner_operator,9272,365771,COPLEY HEALTH CENTER,Type2,property_owner
380,MAJESTIC CARE,owner_operator,5335,215336,HAGERSTOWN HEALTHCARE CENTER,Type2,property_owner
380,MAJESTIC CARE,owner_operator,4559,185039,HIGHLANDS NURSING AND REHABILITATION,Type2,property_owner
380,MAJESTIC CARE,owner_operator,9687,366396,"LAURELS OF ATHENS, THE",Type2,property_owner
380,MAJESTIC CARE,owner_operator,9238,365727,PEBBLE CREEK HEALTHCARE CENTER,Type2,property_owner
380,MAJESTIC CARE,owner_operator,8635,345336,SIGNATURE HEALTHCARE OF ROANOKE RAPIDS,Type2,property_owner
380,MAJESTIC CARE,owner_operator,5175,215065,SILVER SPRING  HEALTHCARE CENTER,Owner,facility_operator
380,MAJESTIC CARE,owner_operator,11271,445363,STANDING STONE CARE AND REHAB,Type2,property_owner
380,MAJESTIC CARE,owner_operator,11952,495394,THE LAURELS OF BON AIR,Type2,property_owner
380,MAJESTIC CARE,owner_operator,11937,495377,THE LAURELS OF CHARLOTTESVILLE,Type2,property_owner
380,MAJESTIC CARE,owner_operator,8700,345421,THE LAURELS OF CHATHAM,Type2,property_owner
380,MAJESTIC CARE,owner_operator,8624,345322,THE LAURELS OF HENDERSONVILLE,Type2,property_owner
380,MAJESTIC CARE,owner_operator,12180,515047,WORTHINGTON HEALTHCARE CENTER,Type2,property_owner
380,MAJESTIC CARE,owner_operator,9278,365779,WYANT WOODS HEALTHCARE CENTER,Type2,property_owner
216,TRILOGY HEALTH SERVICES,owner_operator,9345,365893,BEREA CENTER,Type2,property_owner
216,TRILOGY HEALTH SERVICES,owner_operator,8977,365304,CLIFTON HEALTHCARE CENTER,Type2,property_owner
216,TRILOGY HEALTH SERVICES,owner_operator,5279,215231,CLINTON HEALTHCARE  CENTER,Type2,property_owner
216,TRILOGY HEALTH SERVICES,owner_operator,9272,365771,COPLEY HEALTH CENTER,Type2,property_owner
216,TRILOGY HEALTH SERVICES,owner_operator,5335,215336,HAGERSTOWN HEALTHCARE CENTER,Type2,property_owner
216,TRILOGY HEALTH SERVICES,owner_operator,4559,185039,HIGHLANDS NURSING AND REHABILITATION,Type2,property_owner
216,TRILOGY HEALTH SERVICES,owner_operator,9687,366396,"LAURELS OF ATHENS, THE",Type2,property_owner
216,TRILOGY HEALTH SERVICES,owner_operator,9238,365727,PEBBLE CREEK HEALTHCARE CENTER,Type2,property_owner
216,TRILOGY HEALTH SERVICES,owner_operator,8635,345336,SIGNATURE HEALTHCARE OF ROANOKE RAPIDS,Type2,property_owner
216,TRILOGY HEALTH SERVICES,owner_operator,5175,215065,SILVER SPRING  HEALTHCARE CENTER,Owner,facility_operator
216,TRILOGY HEALTH SERVICES,owner_operator,11271,445363,STANDING STONE CARE AND REHAB,Type2,property_owner
216,TRILOGY HEALTH SERVICES,owner_operator,11952,495394,THE LAURELS OF BON AIR,Type2,property_owner
216,TRILOGY HEALTH SERVICES,owner_operator,11937,495377,THE LAURELS OF CHARLOTTESVILLE,Type2,property_owner
216,TRILOGY HEALTH SERVICES,owner_operator,8700,345421,THE LAURELS OF CHATHAM,Type2,property_owner
216,TRILOGY HEALTH SERVICES,owner_operator,8624,345322,THE LAURELS OF HENDERSONVILLE,Type2,property_owner
216,TRILOGY HEALTH SERVICES,owner_operator,12180,515047,WORTHINGTON HEALTHCARE CENTER,Type2,property_owner
216,TRILOGY HEALTH SERVICES,owner_operator,9278,365779,WYANT WOODS HEALTHCARE CENTER,Type2,property_owner
560,BONCREST RESOURCE GROUP,owner_operator,9345,365893,BEREA CENTER,Type2,property_owner
560,BONCREST RESOURCE GROUP,owner_operator,8977,365304,CLIFTON HEALTHCARE CENTER,Type2,property_owner
560,BONCREST RESOURCE GROUP,owner_operator,5279,215231,CLINTON HEALTHCARE  CENTER,Type2,property_owner
560,BONCREST RESOURCE GROUP,owner_operator,9272,365771,COPLEY HEALTH CENTER,Type2,property_owner
560,BONCREST RESOURCE GROUP,owner_operator,2699,135011,GATEWAY TRANSITIONAL CARE CENTER,Type3,facility_operator
560,BONCREST RESOURCE GROUP,owner_operator,5335,215336,HAGERSTOWN HEALTHCARE CENTER,Type2,property_owner
560,BONCREST RESOURCE GROUP,owner_operator,4559,185039,HIGHLANDS NURSING AND REHABILITATION,Type2,property_owner
560,BONCREST RESOURCE GROUP,owner_operator,9238,365727,PEBBLE CREEK HEALTHCARE CENTER,Type2,property_owner
560,BONCREST RESOURCE GROUP,owner_operator,2704,135020,RIVER'S EDGE REHABILITATION & LIVING CENTER,Owner,facility_operator
560,BONCREST RESOURCE GROUP,owner_operator,10941,425159,ROCK HILL POST ACUTE CARE CENTER,Type2,property_owner
560,BONCREST RESOURCE GROUP,owner_operator,5175,215065,SILVER SPRING  HEALTHCARE CENTER,Owner,facility_operator
560,BONCREST RESOURCE GROUP,owner_operator,12180,515047,WORTHINGTON HEALTHCARE CENTER,Type2,property_owner
560,BONCREST RESOURCE GROUP,owner_operator,9278,365779,WYANT WOODS HEALTHCARE CENTER,Type2,property_owner
349,CARDON & ASSOCIATES,owner_operator,2523,115570,CAMELLIA GARDENS OF LIFE CARE,Owner,facility_operator
349,CARDON & ASSOCIATES,owner_operator,10825,415053,CHERRY HILL MANOR,Owner,facility_operator
349,CARDON & ASSOCIATES,owner_operator,11245,445310,DIVERSICARE OF COPPER BASIN,Owner,property_seller
349,CARDON & ASSOCIATES,owner_operator,4559,185039,HIGHLANDS NURSING AND REHABILITATION,Type2,property_owner
349,CARDON & ASSOCIATES,owner_operator,2217,106047,LIFE CARE CENTER AT INVERRARY,Owner,facility_operator
349,CARDON & ASSOCIATES,owner_operator,11240,445302,LIFE CARE CENTER OF ELIZABETHTON,Owner,facility_operator
349,CARDON & ASSOCIATES,owner_operator,2386,115347,LIFE CARE CENTER OF GWINNETT,Owner,facility_operator
349,CARDON & ASSOCIATES,owner_operator,11246,445314,LIFE CARE CENTER OF MORRISTOWN,Type2,property_owner
349,CARDON & ASSOCIATES,owner_operator,11772,495139,LIFE CARE CENTER OF NEW MARKET,Owner,facility_operator
349,CARDON & ASSOCIATES,owner_operator,11364,445511,LIFE CARE CENTER OF OOLTEWAH,Owner,facility_operator
349,CARDON & ASSOCIATES,owner_operator,2584,115659,LIFE CARE CTR OF LAWRENCEVILLE,Owner,facility_operator
349,CARDON & ASSOCIATES,owner_operator,8635,345336,SIGNATURE HEALTHCARE OF ROANOKE RAPIDS,Type2,property_owner
349,CARDON & ASSOCIATES,owner_operator,11271,445363,STANDING STONE CARE AND REHAB,Type2,property_owner
14628,GENESIS HEALTHCARE,owner_operator,12229,515133,ANSTED CENTER,Owner,facility_operator
14628,GENESIS HEALTHCARE,owner_operator,7381,305041,ELM WOOD CENTER AT CLAREMONT,Owner,facility_operator
14628,GENESIS HEALTHCARE,owner_operator,12258,515176,HAMPSHIRE CENTER,Type2,property_owner
14628,GENESIS HEALTHCARE,owner_operator,12188,515060,HERITAGE CENTER,Type2,property_owner
14628,GENESIS HEALTHCARE,owner_operator,10801,415009,KENT REGENCY CENTER,Type3,facility_operator
14628,GENESIS HEALTHCARE,owner_operator,5301,215264,LARKIN CHASE CENTER,Type2,property_owner
14628,GENESIS HEALTHCARE,owner_operator,8581,345261,LOTUS VILLAGE CENTER FOR NURSING AND REHABILITATION,Type2,property_seller
14628,GENESIS HEALTHCARE,owner_operator,12264,515182,MILETREE CENTER,Type2,property_owner
14628,GENESIS HEALTHCARE,owner_operator,12241,515155,PIERPONT CENTER AT FAIRMONT CAMPUS,Type2,property_owner
14628,GENESIS HEALTHCARE,owner_operator,7391,305052,"RIDGEWOOD CENTER, GENESIS HEALTHCARE",Type2,property_owner
14628,GENESIS HEALTHCARE,owner_operator,47,015113,RIVER CITY CENTER,Type2,property_owner
14628,GENESIS HEALTHCARE,owner_operator,12184,515053,TYGART CENTER AT FAIRMONT CAMPUS,Type2,property_owner
14628,GENESIS HEALTHCARE,owner_operator,12209,515100,WHITE SULPHUR SPRINGS CENTER,Type2,property_owner
208,EMBASSY HEALTHCARE,owner_operator,9435,366043,CARLISLE MANOR HEALTH CARE INC,Type2,property_owner
208,EMBASSY HEALTHCARE,owner_operator,4719,185338,CHRISTIAN HEIGHTS NURSING AND REHABILITATION CENTER,Type2,property_owner
208,EMBASSY HEALTHCARE,owner_operator,9564,366239,CRYSTAL CARE CENTER OF ASHLAND,Type2,property_owner
208,EMBASSY HEALTHCARE,owner_operator,4731,185354,FORDSVILLE NURSING AND REHABILITATION CENTER,Type2,property_owner
208,EMBASSY HEALTHCARE,owner_operator,8394,335817,GARDEN CARE CENTER,Type2,property_owner
208,EMBASSY HEALTHCARE,owner_operator,9304,365825,GRANDE OAKS,Type2,property_owner
208,EMBASSY HEALTHCARE,owner_operator,9032,365401,HERITAGE HEALTH CARE CENTER,Type2,property_owner
208,EMBASSY HEALTHCARE,owner_operator,4711,185329,MORGANFIELD NURSING AND REHABILITATION CENTER,Type2,property_owner
208,EMBASSY HEALTHCARE,owner_operator,8396,335819,PARK AVENUE EXTENDED CARE FACILITY,Type2,property_owner
208,EMBASSY HEALTHCARE,owner_operator,4632,185218,SOMERSET NURSING AND REHABILITATION FACILITY,Owner,facility_operator
208,EMBASSY HEALTHCARE,owner_operator,4729,185352,STANTON NURSING AND REHABILITATION CENTER,Type2,property_owner
208,EMBASSY HEALTHCARE,owner_operator,8377,335798,TOWNHOUSE CENTER FOR REHABILITATION & NURSING,Type2,property_owner
152,FUNDAMENTAL HEALTHCARE,owner_operator,1724,105297,BROOKSVILLE HEALTHCARE CENTER,Type2,property_owner
152,FUNDAMENTAL HEALTHCARE,owner_operator,2699,135011,GATEWAY TRANSITIONAL CARE CENTER,Type3,facility_operator
152,FUNDAMENTAL HEALTHCARE,owner_operator,10967,425303,LAKE EMORY POST ACUTE CARE,Type2,property_owner
152,FUNDAMENTAL HEALTHCARE,owner_operator,10899,425090,MAGNOLIA MANOR - GREENVILLE,Type2,property_owner
152,FUNDAMENTAL HEALTHCARE,owner_operator,10949,425172,MAGNOLIA MANOR - GREENWOOD,Type2,property_owner
152,FUNDAMENTAL HEALTHCARE,owner_operator,10955,425287,MIDLANDS HEALTH & REHABILITATION CENTER,Type2,property_owner
152,FUNDAMENTAL HEALTHCARE,owner_operator,10952,425175,PHYSICAL REHABILITATION AND WELLNESS CENTER OF SPA,Type2,property_owner
152,FUNDAMENTAL HEALTHCARE,owner_operator,10961,425295,PRINCE GEORGE HEALTHCARE CENTER,Type2,property_owner
152,FUNDAMENTAL HEALTHCARE,owner_operator,2704,135020,RIVER'S EDGE REHABILITATION & LIVING CENTER,Owner,facility_operator
152,FUNDAMENTAL HEALTHCARE,owner_operator,10895,425082,RIVERSIDE HEALTH AND REHAB,Owner,facility_operator
152,FUNDAMENTAL HEALTHCARE,owner_operator,10941,425159,ROCK HILL POST ACUTE CARE CENTER,Type2,property_owner
152,FUNDAMENTAL HEALTHCARE,owner_operator,10931,425143,ST GEORGE HEALTHCARE CENTER,Type2,property_owner
29,LIFE CARE CENTERS OF AMERICA,owner_operator,1972,105636,BELLEAIR HEALTH CARE CENTER,Owner,facility_operator
29,LIFE CARE CENTERS OF AMERICA,owner_operator,2523,115570,CAMELLIA GARDENS OF LIFE CARE,Owner,facility_operator
29,LIFE CARE CENTERS OF AMERICA,owner_operator,10825,415053,CHERRY HILL MANOR,Owner,facility_operator
29,LIFE CARE CENTERS OF AMERICA,owner_operator,2055,105754,CONWAY LAKES HEALTH & REHABILITATION CENTER,Owner,facility_operator
29,LIFE CARE CENTERS OF AMERICA,owner_operator,11245,445310,DIVERSICARE OF COPPER BASIN,Owner,property_seller
29,LIFE CARE CENTERS OF AMERICA,owner_operator,2217,106047,LIFE CARE CENTER AT INVERRARY,Owner,facility_operator
29,LIFE CARE CENTERS OF AMERICA,owner_operator,11240,445302,LIFE CARE CENTER OF ELIZABETHTON,Owner,facility_operator
29,LIFE CARE CENTERS OF AMERICA,owner_operator,2386,115347,LIFE CARE CENTER OF GWINNETT,Owner,facility_operator
29,LIFE CARE CENTERS OF AMERICA,owner_operator,11246,445314,LIFE CARE CENTER OF MORRISTOWN,Type2,property_owner
29,LIFE CARE CENTERS OF AMERICA,owner_operator,11772,495139,LIFE CARE CENTER OF NEW MARKET,Owner,facility_operator
29,LIFE CARE CENTERS OF AMERICA,owner_operator,11364,445511,LIFE CARE CENTER OF OOLTEWAH,Owner,facility_operator
29,LIFE CARE CENTERS OF AMERICA,owner_operator,2584,115659,LIFE CARE CTR OF LAWRENCEVILLE,Owner,facility_operator
139,NATIONAL HEALTHCARE CORPORATION,owner_operator,11263,445344,HOLSTON HEALTH & REHABILITATION CENTER,Owner,facility_operator
139,NATIONAL HEALTHCARE CORPORATION,owner_operator,10982,425322,NHC HEALTHCARE - GREENVILLE,Owner,facility_operator
139,NATIONAL HEALTHCARE CORPORATION,owner_operator,10885,425063,NHC HEALTHCARE - GREENWOOD,Owner,facility_operator
139,NATIONAL HEALTHCARE CORPORATION,owner_operator,10994,425359,NHC HEALTHCARE - MAULDIN,Owner,facility_operator
139,NATIONAL HEALTHCARE CORPORATION,owner_operator,2324,115104,NHC HEALTHCARE ROSSVILLE,Owner,facility_operator
139,NATIONAL HEALTHCARE CORPORATION,owner_operator,11768,495131,"NHC HEALTHCARE, BRISTOL",Owner,facility_operator
139,NATIONAL HEALTHCARE CORPORATION,owner_operator,11119,445013,"NHC HEALTHCARE, CHATTANOOGA",Owner,facility_operator
139,NATIONAL HEALTHCARE CORPORATION,owner_operator,11134,445110,"NHC HEALTHCARE, COOKEVILLE",Owner,facility_operator
139,NATIONAL HEALTHCARE CORPORATION,owner_operator,4574,185093,"NHC HEALTHCARE, GLASGOW",Owner,facility_operator
139,NATIONAL HEALTHCARE CORPORATION,owner_operator,11128,445098,"NHC HEALTHCARE, KNOXVILLE",Owner,facility_operator
139,NATIONAL HEALTHCARE CORPORATION,owner_operator,11132,445108,"NHC HEALTHCARE, MURFREESBORO",Owner,facility_operator
139,NATIONAL HEALTHCARE CORPORATION,owner_operator,11376,445525,NHC PLACE AT THE TRACE,Owner,facility_operator
11645,"BERRY HILL NURSING HOME, INC.",owner_operator,8568,345237,BARBOUR COURT NURSING AND REHABILITATION CENTER,Owner,facility_operator
11645,"BERRY HILL NURSING HOME, INC.",owner_operator,8463,345072,CAROLINA RIVERS NURSING AND REHABILITATION CENTER,Owner,facility_operator
11645,"BERRY HILL NURSING HOME, INC.",owner_operator,8745,345487,CHERRY POINT BAY NURSING AND REHABILITATION CENTER,Owner,facility_operator
11645,"BERRY HILL NURSING HOME, INC.",owner_operator,8634,345335,FRANKLIN OAKS NURSING AND REHABILITATION CENTER,Owner,facility_operator
11645,"BERRY HILL NURSING HOME, INC.",owner_operator,8648,345355,GRAHAM HEALTHCARE AND REHABILITATION CENTER,Owner,facility_operator
11645,"BERRY HILL NURSING HOME, INC.",owner_operator,8456,345050,JACOB'S CREEK NURSING AND REHABILITATION CENTER,Owner,facility_operator
11645,"BERRY HILL NURSING HOME, INC.",owner_operator,8647,345354,PINEY GROVE NURSING AND REHABILITATION CENTER,Owner,facility_operator
11645,"BERRY HILL NURSING HOME, INC.",owner_operator,8549,345211,RIVERPOINT CREST NURSING AND REHABILITATION CENTER,Owner,facility_operator
11645,"BERRY HILL NURSING HOME, INC.",owner_operator,8765,345513,TOWER NURSING AND REHABILITATION CENTER,Owner,facility_operator
11645,"BERRY HILL NURSING HOME, INC.",owner_operator,11832,495226,WAYLAND NURSING AND REHABILITATION CENTER,Owner,facility_operator
11645,"BERRY HILL NURSING HOME, INC.",owner_operator,8661,345372,WILSON PINES NURSING AND REHABILITATION CENTER,Owner,facility_operator
14614,BRITTHAVEN,ownership,8568,345237,BARBOUR COURT NURSING AND REHABILITATION CENTER,Owner,facility_operator
14614,BRITTHAVEN,ownership,8463,345072,CAROLINA RIVERS NURSING AND REHABILITATION CENTER,Owner,facility_operator
14614,BRITTHAVEN,ownership,8745,345487,CHERRY POINT BAY NURSING AND REHABILITATION CENTER,Owner,facility_operator
14614,BRITTHAVEN,ownership,8634,345335,FRANKLIN OAKS NURSING AND REHABILITATION CENTER,Owner,facility_operator
14614,BRITTHAVEN,ownership,8648,345355,GRAHAM HEALTHCARE AND REHABILITATION CENTER,Owner,facility_operator
14614,BRITTHAVEN,ownership,8456,345050,JACOB'S CREEK NURSING AND REHABILITATION CENTER,Owner,facility_operator
14614,BRITTHAVEN,ownership,8647,345354,PINEY GROVE NURSING AND REHABILITATION CENTER,Owner,facility_operator
14614,BRITTHAVEN,ownership,8549,345211,RIVERPOINT CREST NURSING AND REHABILITATION CENTER,Owner,facility_operator
14614,BRITTHAVEN,ownership,8765,345513,TOWER NURSING AND REHABILITATION CENTER,Owner,facility_operator
14614,BRITTHAVEN,ownership,11832,495226,WAYLAND NURSING AND REHABILITATION CENTER,Owner,facility_operator
14614,BRITTHAVEN,ownership,8661,345372,WILSON PINES NURSING AND REHABILITATION CENTER,Owner,facility_operator
8,"CLINICAL SERVICES, INC.",owner_operator,2453,115477,CHAPLINWOOD NURSING HOME,Owner,facility_operator
8,"CLINICAL SERVICES, INC.",owner_operator,2452,115474,LYNN HAVEN HEALTH AND REHABILITATION,Type2,property_owner
8,"CLINICAL SERVICES, INC.",owner_operator,2397,115364,MONTEZUMA HEALTH AND REHABILITATION,Type2,property_owner
8,"CLINICAL SERVICES, INC.",owner_operator,2332,115138,NEWNAN HEALTH AND REHABILITATION,Owner,facility_operator
8,"CLINICAL SERVICES, INC.",owner_operator,2431,115428,OAKVIEW HEALTH AND REHABILITATION,Type2,property_owner
8,"CLINICAL SERVICES, INC.",owner_operator,2410,115387,OXLEY PARK HEALTH AND REHABILITATION,Type2,property_owner
8,"CLINICAL SERVICES, INC.",owner_operator,2407,115382,SPARTA HEALTH AND REHABILITATION,Type2,property_owner
8,"CLINICAL SERVICES, INC.",owner_operator,2444,115461,TOWNSEND PARK HEALTH AND REHABILITATION,Type2,property_owner
8,"CLINICAL SERVICES, INC.",owner_operator,2451,115473,TRADITIONS HEALTH AND REHABILITATION,Type2,property_owner
8,"CLINICAL SERVICES, INC.",owner_operator,2414,115395,WINTHROP HEALTH AND REHABILITATION,Owner,facility_operator
8,"CLINICAL SERVICES, INC.",owner_operator,2563,115625,WYNFIELD PARK HEALTH AND REHABILITATION,Owner,facility_operator
303,"HEALTH CARE FACILITY MANAGEMENT, LLC",owner_operator,9345,365893,BEREA CENTER,Type2,property_owner
303,"HEALTH CARE FACILITY MANAGEMENT, LLC",owner_operator,8977,365304,CLIFTON HEALTHCARE CENTER,Type2,property_owner
303,"HEALTH CARE FACILITY MANAGEMENT, LLC",owner_operator,5279,215231,CLINTON HEALTHCARE  CENTER,Type2,property_owner
303,"HEALTH CARE FACILITY MANAGEMENT, LLC",owner_operator,9272,365771,COPLEY HEALTH CENTER,Type2,property_owner
303,"HEALTH CARE FACILITY MANAGEMENT, LLC",owner_operator,5335,215336,HAGERSTOWN HEALTHCARE CENTER,Type2,property_owner
303,"HEALTH CARE FACILITY MANAGEMENT, LLC",owner_operator,9238,365727,PEBBLE CREEK HEALTHCARE CENTER,Type2,property_owner
303,"HEALTH CARE FACILITY MANAGEMENT, LLC",owner_operator,10855,415104,ROBERTS HEALTH CENTRE INC,Type3,property_owner
303,"HEALTH CARE FACILITY MANAGEMENT, LLC",owner_operator,5175,215065,SILVER SPRING  HEALTHCARE CENTER,Owner,facility_operator
303,"HEALTH CARE FACILITY MANAGEMENT, LLC",owner_operator,10893,425078,WESLEY COMMONS HEALTH AND REHABILITATION CENTER,Type2,property_owner
303,"HEALTH CARE FACILITY MANAGEMENT, LLC",owner_operator,12180,515047,WORTHINGTON HEALTHCARE CENTER,Type2,property_owner
303,"HEALTH CARE FACILITY MANAGEMENT, LLC",owner_operator,9278,365779,WYANT WOODS HEALTHCARE CENTER,Type2,property_owner
348,PRINCIPLE LONG TERM CARE,owner_operator,8568,345237,BARBOUR COURT NURSING AND REHABILITATION CENTER,Owner,facility_operator
348,PRINCIPLE LONG TERM CARE,owner_operator,8463,345072,CAROLINA RIVERS NURSING AND REHABILITATION CENTER,Owner,facility_operator
348,PRINCIPLE LONG TERM CARE,owner_operator,8745,345487,CHERRY POINT BAY NURSING AND REHABILITATION CENTER,Owner,facility_operator
348,PRINCIPLE LONG TERM CARE,owner_operator,8634,345335,FRANKLIN OAKS NURSING AND REHABILITATION CENTER,Owner,facility_operator
348,PRINCIPLE LONG TERM CARE,owner_operator,8648,345355,GRAHAM HEALTHCARE AND REHABILITATION CENTER,Owner,facility_operator
348,PRINCIPLE LONG TERM CARE,owner_operator,8456,345050,JACOB'S CREEK NURSING AND REHABILITATION CENTER,Owner,facility_operator
348,PRINCIPLE LONG TERM CARE,owner_operator,8647,345354,PINEY GROVE NURSING AND REHABILITATION CENTER,Owner,facility_operator
348,PRINCIPLE LONG TERM CARE,owner_operator,8549,345211,RIVERPOINT CREST NURSING AND REHABILITATION CENTER,Owner,facility_operator
348,PRINCIPLE LONG TERM CARE,owner_operator,8765,345513,TOWER NURSING AND REHABILITATION CENTER,Owner,facility_operator
348,PRINCIPLE LONG TERM CARE,owner_operator,11832,495226,WAYLAND NURSING AND REHABILITATION CENTER,Owner,facility_operator
348,PRINCIPLE LONG TERM CARE,owner_operator,8661,345372,WILSON PINES NURSING AND REHABILITATION CENTER,Owner,facility_operator
51,[MERGED] AMERICAN SENIOR COMMUNITIES,other,2523,115570,CAMELLIA GARDENS OF LIFE CARE,Owner,facility_operator
51,[MERGED] AMERICAN SENIOR COMMUNITIES,other,10825,415053,CHERRY HILL MANOR,Owner,facility_operator
51,[MERGED] AMERICAN SENIOR COMMUNITIES,other,11245,445310,DIVERSICARE OF COPPER BASIN,Owner,property_seller
51,[MERGED] AMERICAN SENIOR COMMUNITIES,other,2217,106047,LIFE CARE CENTER AT INVERRARY,Owner,facility_operator
51,[MERGED] AMERICAN SENIOR COMMUNITIES,other,11240,445302,LIFE CARE CENTER OF ELIZABETHTON,Owner,facility_operator
51,[MERGED] AMERICAN SENIOR COMMUNITIES,other,2386,115347,LIFE CARE CENTER OF GWINNETT,Owner,facility_operator
51,[MERGED] AMERICAN SENIOR COMMUNITIES,other,11246,445314,LIFE CARE CENTER OF MORRISTOWN,Type2,property_owner
51,[MERGED] AMERICAN SENIOR COMMUNITIES,other,11772,495139,LIFE CARE CENTER OF NEW MARKET,Owner,facility_operator
51,[MERGED] AMERICAN SENIOR COMMUNITIES,other,11364,445511,LIFE CARE CENTER OF OOLTEWAH,Owner,facility_operator
51,[MERGED] AMERICAN SENIOR COMMUNITIES,other,2584,115659,LIFE CARE CTR OF LAWRENCEVILLE,Owner,facility_operator
450,BEACON HEALTH MANAGEMENT,owner_operator,2528,115577,ALTAMAHA HEALTHCARE CENTER,Type2,property_owner
450,BEACON HEALTH MANAGEMENT,owner_operator,2455,115479,BRYANT HEALTH AND REHABILITATION CENTER,Type2,property_owner
450,BEACON HEALTH MANAGEMENT,owner_operator,2598,115679,COMFORT CREEK NURSING AND REHABILITATION CENTER,Type2,property_owner
