state,provider_number,facility_name,daily_rate,effective_date,city
ND,,Fargo SMP Health - St. Catherine North; 1455429,266.44,2025-01-01,FARGO
ND,,Fargo SMP Health - St. Catherine South; 1454290,274.49,2025-01-01,FARGO
ND,,Fargo The Meadows on University; 1476403,248.63,2025-01-01,FARGO
ND,,Forman Four Seasons Health Care Center; 1452103,254.09,2025-01-01,FORMAN
ND,,Garrison Benedictine Living Community - Garrison; 1456932,223.03,2025-01-01,GARRISON
ND,,Garrison Garrison Memorial Hospital NF; 1458588,280.72,2025-01-01,GARRISON
ND,,Glen Ullin Marian Manor HealthCare Center; 1451325,293.81,2025-01-01,GLEN ULLIN
ND,,Grafton Lutheran Sunset Home; 1458265,273.88,2025-01-01,GRAFTON
ND,,Grand Forks Valley Senior Living on Columbia; 1459903,287.65,2025-01-01,GRAND FORKS
ND,,Grand Forks Woodside Village; 1457910,288.68,2025-01-01,GRAND FORKS
ND,,Hankinson St. Gerard's Community of Care; 1458784,275.12,2025-01-01,HANKINSON
ND,,Harvey SMP Health - St. Aloisius; 1455449,322.16,2025-01-01,VALLEY CITY
ND,,Hatton Hatton Prairie Village; 1454931,272.58,2025-01-01,HATTON
ND,,Hettinger Western Horizons Living Center; 1454518,240.03,2025-01-01,HETTINGER
ND,,Hillsboro Sanford Hillsboro Care Center; 1473751,312.78,2025-01-01,HILLSBORO
ND,,Jamestown Eventide Jamestown; 1451095,260.47,2025-01-01,JAMESTOWN
ND,,Jamestown SMP Health - Ave Maria; 1455433,272.32,2025-01-01,JAMESTOWN
ND,,Killdeer Hill Top Home of Comfort; 1455348,261.42,2025-01-01,KILLDEER
ND,,Lakota Good Samaritan Society - Lakota; 1454951,250.00,2025-01-01,LAKOTA
ND,,LaMoure Benedictine Living Community - LaMoure; 1458360,250.60,2025-01-01,
ND,,Langdon Maple Manor Care Center; 1450763,319.39,2025-01-01,LANGDON
ND,,Larimore Good Samaritan Society - Larimore; 1454966,246.76,2025-01-01,LARIMORE
ND,,Lisbon North Dakota Veterans Home; 1454588,320.30,2025-01-01,LISBON
ND,,Lisbon Parkside Lutheran Home; 1463532,280.78,2025-01-01,LISBON
ND,,Mandan Dakota Alpha; 1455362,553.81,2025-01-01,MANDAN
ND,,Mandan Miller Pointe; 1481341,275.41,2025-01-01,MANDAN
ND,,Mandan Sunset Drive; 1481342,237.92,2025-01-01,MANDAN
ND,,Mayville Luther Memorial Home; 1454964,284.83,2025-01-01,MAYVILLE
ND,,McVille Nelson County Health System; 1456275,283.84,2025-01-01,MCVILLE
ND,,Minot Minot Health and Rehab; 1465818,226.57,2025-01-01,MINOT
ND,,Minot Trinity Homes; 1456872,265.10,2025-01-01,MINOT
ND,,Napoleon Wentz Living Center; 1451477,281.49,2025-01-01,NAPOLEON
ND,,New Rockford Lutheran Home of the Good Shepherd; 1455007,296.30,2025-01-01,NEW ROCKFORD
ND,,New Salem Elm Crest Manor; 1452839,290.07,2025-01-01,NEW SALEM
ND,,Oakes Good Samaritan Society - Oakes; 1454682,230.07,2025-01-01,OAKES
ND,,Park River Good Samaritan Society - Park River; 1454950,260.87,2025-01-01,PARK RIVER
ND,,Richardton Richardton Health Center; 1451396,336.50,2025-01-01,RICHARDTON
ND,,Rolette Rolette Community Care Center; 1455160,300.80,2025-01-01,ROLETTE
ND,,Stanley Mountrail Bethel Home; 1456667,297.31,2025-01-01,STANLEY
ND,,Strasburg Strasburg Care Center; 1452068,262.50,2025-01-01,STRASBURG
ND,,Tioga Tioga Medical Center LTC; 1455697,305.62,2025-01-01,TIOGA
ND,,Valley City SMP Health - St. Raphael Geropsych; 1455437,410.11,2025-01-01,VALLEY CITY
ND,,Valley City SMP Health - St. Raphael; 1464895,282.32,2025-01-01,VALLEY CITY
ND,,Velva Souris Valley Care Center; 1458815,233.90,2025-01-01,VELVA
ND,,Wahpeton Benedictine Living Community - Wahpeton; 1458798,248.96,2025-01-01,
ND,,Walhalla Pembilier Nursing Center; 1454540,254.53,2025-01-01,WALHALLA
ND,,Watford City McKenzie County Healthcare Systems; 1465079,368.50,2025-01-01,WATFORD CITY
ND,,West Fargo Eventide at Sheyenne Crossings; 1451625,271.31,2025-01-01,FARGO
ND,,Williston Bethel Lutheran Nursing & Rehab; 1457183,286.08,2025-01-01,WILLISTON
ND,,Wishek Wishek Living Center; 1451276,271.85,2025-01-01,WISHEK
